path,category,linked_notes_count,footer_present,footer_link_count,dangling_targets,mismatch_detail,safe_auto_candidate,error
20251206_002_maia_1100_draw_c40.md,no_frontmatter,0,False,0,,,False,
africana_studies/00_method_and_syllabus/africana_studies_hub.md,dangling_target,4,True,4,africana_studies_resistance_politics; session_context_thanksgiving25,,False,
africana_studies/00_method_and_syllabus/africana_studies_overview.md,dangling_target,2,True,2,africana_studies_resistance_politics,,False,
africana_studies/00_method_and_syllabus/memory_palace_douglass_anacostia_house_of_sight.md,ok,4,True,4,,,False,
africana_studies/00_method_and_syllabus/reading_log_schema.md,mismatch,1,True,3,,"linked_notes=['sankofa_reading_journey'] | footer=['reading_log', 'sankofa_reading_journey', 'sankofa_spine']",False,
africana_studies/00_method_and_syllabus/sankofa_reading_journey.md,mismatch,2,True,1,extract_and_summarize_pipeline,"linked_notes=['extract_and_summarize_pipeline', 'reading_log_schema'] | footer=['reading_log_schema']",False,
africana_studies/01_social_structures/cyrus_carmack_belton_verdict_community_extraction.md,footer_missing,5,False,0,,,True,
africana_studies/01_social_structures/democratic_legitimacy_and_structural_power.md,ok,5,True,5,,,False,
africana_studies/01_social_structures/jim_crow_political_economy.md,ok,1,True,1,,,False,
africana_studies/01_social_structures/the_new_jim_crow.md,linked_notes_missing_or_empty,0,False,0,,,False,
africana_studies/01_social_structures/zambia_zimbabwe_hiv_aid_minerals_biomedical_extractivism.md,mismatch,5,True,5,,"linked_notes=['algorithmic_colonialism', 'biomedical_extractivism', 'black_political_agency_early_modern_atlantic', 'diaspora_memory_architecture', 'jim_crow_political_economy'] | footer=['algorithmic_colonialism', 'biomedical_extractivism', 'black_political_agency_early_modern_atlantic', 'diaspora_memory_architecture', 'jim crow political economy']",False,
africana_studies/02_governance/black_political_agency_early_modern_atlantic.md,ok,7,True,7,,,False,
africana_studies/02_governance/nzinga_diplomacy_ai_ethics.md,footer_missing,4,False,0,ai_governance]]; ai_safety_frameworks]]; queen_nzinga_mbande_1583_1663]]; sacred_tech_manifesto]],,False,
africana_studies/02_governance/reconstruction_constitutional_order.md,ok,3,True,3,,,False,
africana_studies/03_resistance_traditions/underground_railroad.md,ok,5,True,5,,,False,
africana_studies/03_ways_of_knowing/john_s_wright_intellectual_life.md,linked_notes_missing_or_empty,0,False,0,,,False,
africana_studies/03_ways_of_knowing/racial_adjudication.md,footer_missing,1,False,0,,,True,
